children1,children2,children3,children4 (gene_ID)
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN2436.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN2916.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN2999.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN3466.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN4462.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN5031.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN5162.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN5300.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN5525.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN5571.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN5790.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN6499.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN6650.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN6708.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN6717.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN7000.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN7593.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN8275.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN8707.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN8793.2
09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ani00020],AN9403.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN0240.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN0285.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN0688.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN1735.2
